model,prefix_chars,most_common_count,distinct
SmolLM2,2,3466,283
SmolLM2,4,3443,832
SmolLM2,6,3441,1252
SmolLM2,8,3436,1520
SmolLM2,10,3235,1897
SmolLM2,12,1455,2711
SmolLM2,14,1298,3875
SmolLM2,16,535,4764
SmolLM2,18,515,5422
SmolLM2,20,443,6332
SmolLM2,22,442,7050
SmolLM2,24,76,7875
SmolLM2,26,53,8452
SmolLM2,28,53,8733
SmolLM2,30,35,9025
SmolLM2,32,35,9253
SmolLM2,34,35,9450
SmolLM2,36,35,9552
SmolLM2,38,35,9633
SmolLM2,40,35,9730
SmolLM2,42,35,9785
SmolLM2,44,17,9834
SmolLM2,46,17,9854
SmolLM2,48,17,9887
SmolLM2,50,17,9903
SmolLM2,52,11,9916
SmolLM2,54,6,9923
SmolLM2,56,6,9927
SmolLM2,58,6,9932
SmolLM2,60,6,9933
Qwen3,2,8857,11
Qwen3,4,7620,14
Qwen3,6,7620,16
Qwen3,8,7620,21
Qwen3,10,7619,40
Qwen3,12,7619,113
Qwen3,14,7092,342
Qwen3,16,4467,669
Qwen3,18,1283,1567
Qwen3,20,1209,2775
Qwen3,22,1209,3857
Qwen3,24,1209,4535
Qwen3,26,1209,5124
Qwen3,28,1208,5723
Qwen3,30,1208,6177
Qwen3,32,1208,6566
Qwen3,34,1001,6877
Qwen3,36,136,7422
Qwen3,38,128,7950
Qwen3,40,87,8301
Qwen3,42,75,8633
Qwen3,44,50,8903
Qwen3,46,46,9130
Qwen3,48,46,9299
Qwen3,50,46,9438
Qwen3,52,24,9536
Qwen3,54,23,9629
Qwen3,56,16,9705
Qwen3,58,16,9765
Qwen3,60,10,9832
Llama 3.2,2,7748,202
Llama 3.2,4,7738,598
Llama 3.2,6,7738,880
Llama 3.2,8,7738,961
Llama 3.2,10,2481,1041
Llama 3.2,12,1528,1452
Llama 3.2,14,944,2854
Llama 3.2,16,624,4445
Llama 3.2,18,111,5425
Llama 3.2,20,111,6443
Llama 3.2,22,58,7177
Llama 3.2,24,40,7813
Llama 3.2,26,33,8367
Llama 3.2,28,33,8679
Llama 3.2,30,14,9004
Llama 3.2,32,11,9288
Llama 3.2,34,11,9478
Llama 3.2,36,11,9615
Llama 3.2,38,6,9709
Llama 3.2,40,6,9777
Llama 3.2,42,6,9830
Llama 3.2,44,6,9872
Llama 3.2,46,5,9899
Llama 3.2,48,4,9916
Llama 3.2,50,4,9933
Llama 3.2,52,4,9947
Llama 3.2,54,4,9957
Llama 3.2,56,4,9962
Llama 3.2,58,4,9967
Llama 3.2,60,4,9974
Gemma 3,2,4073,168
Gemma 3,4,3560,595
Gemma 3,6,3559,1088
Gemma 3,8,3559,1431
Gemma 3,10,3559,1857
Gemma 3,12,3559,2235
Gemma 3,14,3558,2558
Gemma 3,16,2510,2954
Gemma 3,18,946,3523
Gemma 3,20,946,4132
Gemma 3,22,946,4474
Gemma 3,24,936,4915
Gemma 3,26,936,5286
Gemma 3,28,936,5583
Gemma 3,30,936,5808
Gemma 3,32,936,6006
Gemma 3,34,936,6252
Gemma 3,36,936,6460
Gemma 3,38,936,6610
Gemma 3,40,936,6802
Gemma 3,42,936,6935
Gemma 3,44,936,7082
Gemma 3,46,936,7214
Gemma 3,48,936,7330
Gemma 3,50,674,7456
Gemma 3,52,674,7603
Gemma 3,54,674,7724
Gemma 3,56,674,7800
Gemma 3,58,474,7864
Gemma 3,60,474,7924
Falcon 3,2,8267,66
Falcon 3,4,3901,208
Falcon 3,6,3898,329
Falcon 3,8,3897,389
Falcon 3,10,3733,476
Falcon 3,12,3701,762
Falcon 3,14,2801,1120
Falcon 3,16,2617,1821
Falcon 3,18,2617,2788
Falcon 3,20,2617,3701
Falcon 3,22,2617,4356
Falcon 3,24,2617,4816
Falcon 3,26,2617,5281
Falcon 3,28,1616,5668
Falcon 3,30,1141,5960
Falcon 3,32,1141,6229
Falcon 3,34,1141,6537
Falcon 3,36,1140,6772
Falcon 3,38,855,7047
Falcon 3,40,855,7337
Falcon 3,42,301,7557
Falcon 3,44,301,7744
Falcon 3,46,301,7945
Falcon 3,48,301,8170
Falcon 3,50,215,8348
Falcon 3,52,210,8552
Falcon 3,54,210,8687
Falcon 3,56,165,8856
Falcon 3,58,102,8982
Falcon 3,60,102,9135
Granite 3,2,5648,365
Granite 3,4,5625,821
Granite 3,6,5625,1165
Granite 3,8,5581,1380
Granite 3,10,1152,1627
Granite 3,12,378,2499
Granite 3,14,372,3787
Granite 3,16,372,4732
Granite 3,18,370,5585
Granite 3,20,316,6535
Granite 3,22,316,7222
Granite 3,24,108,7876
Granite 3,26,107,8434
Granite 3,28,102,8655
Granite 3,30,36,8940
Granite 3,32,35,9221
Granite 3,34,28,9488
Granite 3,36,28,9618
Granite 3,38,28,9702
Granite 3,40,11,9794
Granite 3,42,6,9855
Granite 3,44,6,9883
Granite 3,46,6,9896
Granite 3,48,6,9916
Granite 3,50,3,9925
Granite 3,52,3,9929
Granite 3,54,3,9937
Granite 3,56,3,9940
Granite 3,58,2,9945
Granite 3,60,2,9947
